  PID  PPID STAT     ELAPSED    RSS COMMAND
  282     1 Ss   05-23:11:15  30144 /opt/homebrew/opt/tailscale/bin/tailscaled
  283     1 Ss   05-23:11:15   4896 /opt/homebrew/opt/newrelic-infra-agent/bin/newrelic-infra-service -config /opt/homebrew/etc/newrelic-infra/newrelic-infra.yml
  284     1 Ss   05-23:11:15   7136 /usr/libexec/cameracaptured
  287     1 Ss   05-23:11:15   8240 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  291     1 Ss   05-23:11:15   5024 /System/Library/Audio/Plug-Ins/usbaudio.bundle/Contents/MacOS/usbaudiod
  294     1 Ss   05-23:11:15   1776 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000a36 com.apple.DriverKit-IOUserDockChannelSerial
  299     1 Ss   05-23:11:15   3200 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000a39 com.apple.AppleUserHIDDrivers
  301     1 Ss   05-23:11:15  36064 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000a55 com.apple.DriverKit-AppleBCMWLAN
  308     1 S    05-23:11:15   2528 /usr/sbin/distnoted agent
  315     1 S    05-23:11:15   2560 /usr/sbin/distnoted agent
  321   283 S    05-23:11:15  41792 /opt/homebrew/opt/newrelic-infra-agent/bin/newrelic-infra -config /opt/homebrew/etc/newrelic-infra/newrelic-infra.yml
  341     1 Ss   05-23:11:15  88384 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  342     1 S    05-23:11:14   2544 /usr/sbin/distnoted agent
  344     1 Ss   05-23:11:14   2128 /usr/sbin/cron
  348     1 Ss   05-23:11:14  25744 /usr/libexec/searchpartyd
  350     1 Ss   05-23:11:14   8112 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  352     1 S    05-23:11:14   6928 /usr/sbin/distnoted agent
  353     1 S    05-23:11:14   7376 /usr/sbin/cfprefsd agent
  354     1 S    05-23:11:14  15216 /usr/libexec/lsd
  356     1 S    05-23:11:14  24320 /usr/libexec/secd
  362     1 S    05-23:11:14  19648 /usr/libexec/UserEventAgent (Aqua)
  367     1 S    05-23:11:14  13824 /usr/libexec/neagent
  370     1 S    05-23:11:14  15200 /usr/sbin/universalaccessd launchd -s
  372     1 S    05-23:11:14  31120 /usr/libexec/pboard
  373     1 S    05-23:11:14   7856 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  374     1 S    05-23:11:14  26944 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  375     1 S    05-23:11:14  17104 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  377     1 S    05-23:11:14  18304 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  378     1 Ss   05-23:11:14  35568 /usr/libexec/wifip2pd
  379     1 S    05-23:11:14   2512 /usr/sbin/distnoted agent
  383     1 S    05-23:11:13  25520 /usr/libexec/rapportd
  384     1 S    05-23:11:13  16240 /usr/libexec/trustd --agent
  385     1 S    05-23:11:13  33680 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  387     1 S    05-23:11:13  38944 /usr/sbin/usernoted
  391     1 S    05-23:11:13  19392 /usr/libexec/nsurlsessiond
  392     1 S    05-23:11:13  43744 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  396     1 S    05-23:11:13  61856 /usr/libexec/sharingd
  397     1 S    05-23:11:13   2592 /usr/sbin/distnoted agent
  401     1 S    05-23:11:13 105392 /Applications/Ghostty.app/Contents/MacOS/ghostty
  402     1 S    05-23:11:13  16864 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  405     1 S    05-23:11:13  41440 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  409     1 S    05-23:11:13  40784 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  410     1 S    05-23:11:13  93744 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  411     1 S    05-23:11:13   8256 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
