  PID  PPID STAT     ELAPSED    RSS COMMAND
  385     1 S    05-23:11:33  33664 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  387     1 S    05-23:11:33  38944 /usr/sbin/usernoted
  391     1 S    05-23:11:33  19424 /usr/libexec/nsurlsessiond
  392     1 S    05-23:11:33  43744 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  396     1 S    05-23:11:33  61856 /usr/libexec/sharingd
  397     1 S    05-23:11:33   2592 /usr/sbin/distnoted agent
  401     1 S    05-23:11:33 105392 /Applications/Ghostty.app/Contents/MacOS/ghostty
  402     1 S    05-23:11:33  16864 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  405     1 S    05-23:11:33  41440 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  409     1 S    05-23:11:33  40784 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  410     1 S    05-23:11:33  93744 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  411     1 S    05-23:11:33   8256 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  412     1 S    05-23:11:33  30272 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  413     1 S    05-23:11:33  86112 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  416     1 S    05-23:11:33   6992 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  418     1 S    05-23:11:33  31600 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  425     1 Ss   05-23:11:33  11952 /usr/sbin/filecoordinationd
  428     1 Ss   05-23:11:33  18784 /usr/libexec/gamepolicyd
  429     1 S    05-23:11:33  12400 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  430     1 Ss   05-23:11:33   4192 automountd
  431     1 S    05-23:11:33  15776 /System/Library/CoreServices/sharedfilelistd
  434     1 S    05-23:11:33  26384 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  438     1 S    05-23:11:33  30496 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  439     1 S    05-23:11:33   5616 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  442     1 S    05-23:11:33  23744 /System/Library/CoreServices/audioaccessoryd
  443     1 Ss   05-23:11:33   5584 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  449     1 S    05-23:11:33  16240 /usr/libexec/ContinuityCaptureAgent server
  452     1 S    05-23:11:33  44176 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  454     1 Ss   05-23:11:32  24416 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUud2FsbHBhcGVyLmV4dGVuc2lvbi5hZXJpYWxzIn0=
  456     1 S    05-23:11:32 173328 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  460     1 Ss   05-23:11:32  25072 /System/Library/ExtensionKit/Extensions/WallpaperSequoiaExtension.appex/Contents/MacOS/WallpaperSequoiaExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLnNlcXVvaWEiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  472     1 S    05-23:11:32   6912 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  474     1 Ss   05-23:11:32   2688 /usr/libexec/ioupsd
  476     1 S    05-23:11:32  19200 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  487     1 S    05-23:11:32  15504 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  489     1 S    05-23:11:32 192096 /Applications/Factory.app/Contents/Resources/bin/droid daemon --remote-access --enable-child-ipc --droid-path /Applications/Factory.app/Contents/Resources/bin/droid
  493     1 S    05-23:11:32  97728 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  494     1 S    05-23:11:32   9104 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  496     1 S    05-23:11:32   6208 /System/Library/Image Capture/Support/icdd
  498     1 S    05-23:11:32  32576 Contents/Resources/ChatGPTHelper
  504     1 S    05-23:11:32  22592 /Applications/Datadog Agent.app/Contents/MacOS/gui --headless
  506     1 S    05-23:11:32  16352 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  507     1 S    05-23:11:31  37776 /opt/homebrew/opt/moshi-hook/bin/moshi-hook serve
  508     1 S    05-23:11:31  41744 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  509     1 S    05-23:11:31  10144 /System/Library/CoreServices/diagnostics_agent
  511     1 S    05-23:11:31  29696 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  512     1 S    05-23:11:31  23152 /Applications/Espanso.app/Contents/MacOS/espanso launcher
  516     1 Ss   05-23:11:31   2784 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
